,YEAR,FACILITY_NAME,FEDERAL_FACILITY,PARENT_COMPANY_NAME,INDUSTRY_SECTOR,ZIP,STATE,CITY,COUNTY,LATITUDE,LONGITUDE,CHEMICAL,UNIT_OF_MEASURE,CARCINOGEN,CAA_CHEMICAL,TOTAL_RELEASES,ON_SITE_RELEASE_TOTAL,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,ON_SITE_RECYCLED_TOTAL,ONE_TIME_RELEASES
0,2005,BALDOR ELECTRIC CO,NO,ABB INC,Machinery,28787,NC,WEAVERVILLE,BUNCOMBE,35.68472,-82.56483,MANGANESE,Pounds,NO,YES,3.72,0.0,3.72,33064.0,0.0,0.0
1,2005,ALEVO MANUFACTURING,NO,ALTRIA GROUP INC,Tobacco,28027,NC,CONCORD,CABARRUS,35.381531,-80.6309,"BENZO(G,H,I)PERYLENE",Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
2,2005,CNA HOLDINGS LLC-SHELBY,NO,CELANESE CORP,Chemicals,28073,NC,GROVER,CLEVELAND,35.20888,-81.52833,"BENZO(G,H,I)PERYLENE",Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
3,2005,GENERAL TIMBER INC,NO,,Wood Products,27330,NC,SANFORD,CHATHAM,35.5648,-79.2116,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),Pounds,NO,YES,667.60031,4.60031,663.0,0.0,0.0,0.0
4,2005,GENERAL TIMBER INC,NO,,Wood Products,27330,NC,SANFORD,CHATHAM,35.5648,-79.2116,COPPER COMPOUNDS,Pounds,NO,NO,370.50031,3.50031,367.0,0.0,0.0,0.0
5,2005,GENERAL TIMBER INC,NO,,Wood Products,27330,NC,SANFORD,CHATHAM,35.5648,-79.2116,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,237.04,3.8,233.24,0.0,0.0,0.0
6,2005,HANES DYE & FINISHING CO,NO,LEGGETT & PLATT INC,Textiles,27102,NC,WINSTON SALEM,FORSYTH,36.10565,-80.25308,LEAD COMPOUNDS,Pounds,NO,YES,357.0,203.0,154.0,0.0,0.0,0.0
7,2005,GE CO,NO,GENERAL ELECTRIC CO (GE CO),Chemicals,28401,NC,WILMINGTON,NEW HANOVER,34.32184,-77.92815,HYDROGEN FLUORIDE,Pounds,NO,YES,21.0,21.0,0.0,0.0,0.0,0.0
8,2005,DAIMLER TRUCKS NA LLC,NO,DAIMLER TRUCKS N.A. LLC,Machinery,28120,NC,MOUNT HOLLY,GASTON,35.32452,-81.00572,TOLUENE,Pounds,NO,YES,11054.0,11054.0,0.0,0.0,0.0,0.0
9,2005,DAIMLER TRUCKS NA LLC,NO,DAIMLER TRUCKS N.A. LLC,Transportation Equipment,28120,NC,MOUNT HOLLY,GASTON,35.32452,-81.00572,METHYL ISOBUTYL KETONE,Pounds,NO,YES,8617.0,8617.0,0.0,0.0,8419.0,0.0
10,2005,HENREDON FURNITURE INDUSTRIES-MORGANTON DIV,NO,FURNITURE BRANDS INT INC,Furniture,28655,NC,MORGANTON,BURKE,35.72768,-81.6966,N-BUTYL ALCOHOL,Pounds,NO,NO,10666.6659,10666.6659,0.0,211.1823,0.0,0.0
11,2005,VAUGHAN-BASSETT FURNITURE CO. ELKIN,NO,VAUGHAN-BASSETT FURNITURE CO,Furniture,28621,NC,ELKIN,SURRY,36.2481,-80.83752,LEAD COMPOUNDS,Pounds,NO,YES,7.5661,7.5661,0.0,0.0,0.0,0.0
12,2005,AMPHENOL TCS MOLDING & STAMPING,NO,AMPHENOL CORP,Computers and Electronic Products,27103,NC,WINSTON SALEM,FORSYTH,36.0383,-80.31832,NICKEL,Pounds,YES,YES,2.0,0.0,2.0,12760.0,0.0,0.0
13,2005,NGK CERAMICS USA INC,NO,NGK NA,Nonmetallic Mineral Product,28115,NC,MOORESVILLE,IREDELL,35.61378,-80.81426,NITRIC ACID,Pounds,NO,NO,2995.0,2995.0,0.0,0.0,0.0,0.0
14,2005,ALEVO MANUFACTURING,NO,ALTRIA GROUP INC,Tobacco,28027,NC,CONCORD,CABARRUS,35.381531,-80.6309,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
15,2005,ETHAN ALLEN OPERATIONS INC SPRUCE PINE DIV,NO,ETHAN ALLEN OPERATIONS INC,Furniture,28777,NC,SPRUCE PINE,MITCHELL,35.8809,-82.04283,LEAD COMPOUNDS,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
16,2005,DUKE ENERGY PROGRESS LLC - ROXBORO STEAM ELECTRIC PLANT,NO,DUKE ENERGY CORP,Electric Utilities,27343,NC,SEMORA,PERSON,36.4833,-79.0731,COPPER COMPOUNDS,Pounds,NO,NO,137702.0,137702.0,0.0,0.0,0.0,0.0
17,2005,HUBBELL INDUSTRIAL CONTROLS,NO,HUBBELL INC,Electrical Equipment,27263,NC,ARCHDALE,RANDOLPH,35.89348,-79.95973,LEAD,Pounds,YES,YES,0.0,0.0,0.0,244.0,0.0,0.0
18,2005,WARREN OIL CO LLC - DUNN NC,NO,WARREN OIL CO LLC,Petroleum,28334,NC,DUNN,HARNETT,35.33032,-78.59476,CERTAIN GLYCOL ETHERS,Pounds,NO,YES,451.0,451.0,0.0,0.0,0.0,0.0
19,2005,W.A. BROWN & SON INC.,NO,,Machinery,28147,NC,SALISBURY,ROWAN,35.62518,-80.53359,MANGANESE,Pounds,NO,YES,255.0,5.0,250.0,4600.0,0.0,0.0
20,2005,AMERICAN DISTILLATION INC,NO,,Chemicals,28451,NC,LELAND,BRUNSWICK,34.270744,-78.003706,METHANOL,Pounds,NO,YES,25684.0,25684.0,0.0,0.0,0.0,0.0
21,2005,GENERAL TIMBER INC,NO,,Wood Products,27330,NC,SANFORD,CHATHAM,35.5648,-79.2116,NAPHTHALENE,Pounds,NO,YES,2027.5,1860.5,167.0,0.0,0.0,0.0
22,2005,JOHNSON CONTROLS  BATTERY GROUP INC,NO,JOHNSON CONTROLS INC,Electrical Equipment,27284,NC,KERNERSVILLE,FORSYTH,36.11901,-80.16126,LEAD COMPOUNDS,Pounds,NO,YES,357.0,352.0,2.5,4542605.0,0.0,0.0
23,2005,ARMSTRONG HARDWOOD FLOORING CO,NO,ARMSTRONG WORLD INDUSTRIES INC,Wood Products,28677,NC,STATESVILLE,IREDELL,35.77535,-80.88202,LEAD COMPOUNDS,Pounds,NO,YES,283.52,3.02,280.5,0.0,0.0,0.0
24,2005,CATERPILLAR PEC,NO,CATERPILLAR INC,Transportation Equipment,28655,NC,MORGANTON,BURKE,35.70569,-81.79431,MANGANESE,Pounds,NO,YES,0.0,0.0,0.0,34000.0,0.0,0.0
25,2005,ENTERTAINMENT DISTRIBUTION CO (USA) LLC,NO,,Computers and Electronic Products,280730400,NC,GROVER,CLEVELAND,35.17672,-81.43032,NICKEL,Pounds,YES,YES,41.485,6.085,35.0,1193.0,0.0,0.0
26,2005,"HYOSUNG USA, INC.",NO,HYOSUNG USA INC,Primary Metals,27203,NC,ASHEBORO,RANDOLPH,35.772637,-79.823853,ZINC COMPOUNDS,Pounds,NO,NO,31230.0,0.0,30992.0,0.0,0.0,0.0
27,2005,MERCHANTS METALS,NO,MERCHANTS METALS INC,Fabricated Metals,28625,NC,STATESVILLE,IREDELL,35.76225,-80.82335,ZINC COMPOUNDS,Pounds,NO,NO,22987.06,395.06,22592.0,215151.0,0.0,0.0
28,2005,TERRA-MULCH PRODUCTS LLC,NO,PROFILE PRODUCTS LLC,Paper,28613,NC,CONOVER,CATAWBA,35.71632,-81.24786,C.I. BASIC GREEN 4,Pounds,NO,NO,1211.0,279.0,932.0,0.0,0.0,219.0
29,2005,POWERSECURE,NO,METRETEK,Electrical Equipment,27587,NC,WAKE FOREST,WAKE,35.947984,-78.526006,COPPER,Pounds,NO,NO,0.0,0.0,0.0,2824.0,0.0,0.0
30,2005,CONESTOGA KENLY PLANT & SPRAYROOM,NO,CONESTOGA,Furniture,275429646,NC,KENLY,JOHNSTON,35.57738,-78.14965,XYLENE (MIXED ISOMERS),Pounds,NO,YES,10683.6465,10683.6465,0.0,0.0,0.0,0.0
31,2005,ENGINEERED SINTERED COMPONENTS,NO,,Fabricated Metals,28166,NC,TROUTMAN,IREDELL,35.71235,-80.89136,NICKEL,Pounds,YES,YES,3024.0,0.0,3024.0,0.0,0.0,0.0
32,2005,GEORGIA-PACIFIC WOOD PRODUCTS LLC  (WHITEVILLE NC),NO,GEORGIA-PACIFIC BUILDING PRODUCTS LLC,Wood Products,28472,NC,WHITEVILLE,COLUMBUS,34.32,-78.769997,METHANOL,Pounds,NO,YES,51017.0,51017.0,0.0,0.0,0.0,0.0
33,2005,CLARIANT CORP-MOUNT HOLLY WEST PLANT,NO,CLARIANT CORP,Chemicals,28120,NC,MOUNT HOLLY,GASTON,35.295833,-81.006667,ETHYLENE OXIDE,Pounds,YES,YES,8.0,8.0,0.0,0.0,0.0,0.0
34,2005,DAIMLER TRUCKS NA LLC,NO,DAIMLER TRUCKS N.A. LLC,Transportation Equipment,28120,NC,MOUNT HOLLY,GASTON,35.32452,-81.00572,N-BUTYL ALCOHOL,Pounds,NO,NO,20935.8,20935.8,0.0,0.0,24636.0,0.0
35,2005,EDWARDS WOOD PRODUCTS INC,NO,EDWARDS WOOD PRODUCTS INC,Wood Products,27298,NC,LIBERTY,ALAMANCE,35.85687,-79.530762,LEAD COMPOUNDS,Pounds,NO,YES,1.0,1.0,0.0,0.0,0.0,0.0
36,2005,"HYOSUNG USA, INC.",NO,HYOSUNG USA INC,Primary Metals,27203,NC,ASHEBORO,RANDOLPH,35.772637,-79.823853,LEAD COMPOUNDS,Pounds,NO,YES,28.68,0.0,27.19,0.0,0.0,0.0
37,2005,ENGINEERED SINTERED COMPONENTS,NO,,Fabricated Metals,28166,NC,TROUTMAN,IREDELL,35.71235,-80.89136,CHROMIUM,Pounds,YES,YES,4044.0,0.0,4044.0,0.0,0.0,0.0
38,2005,MALLINCKRODT LLC,NO,MALLINCKRODT LLC,Chemicals,27616,NC,RALEIGH,WAKE,35.90059,-78.56164,ANILINE,Pounds,NO,YES,6716.0,6138.0,578.0,0.0,0.0,0.0
39,2005,DUKE ENERGY PROGRESS LLC-MAYO ELECTRIC GENERATING PLANT,NO,DUKE ENERGY CORP,Electric Utilities,27574,NC,ROXBORO,PERSON,36.5278,-78.8917,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",Pounds,NO,NO,99000.0,99000.0,0.0,0.0,0.0,0.0
40,2005,OLDCASTLE PRECAST INC,NO,OLDCASTLE INC,Nonmetallic Mineral Product,27603,NC,RALEIGH,WAKE,35.730417,-78.66346,LEAD,Pounds,YES,YES,0.0029385,0.0029385,0.0,0.0,0.0,0.0
41,2005,KAPSTONE KRAFT PAPER CORP,NO,KAPSTONE PAPER & PACKAGING CORP,Paper,27870,NC,ROANOKE RAPIDS,HALIFAX,36.476037,-77.643173,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,95.0,95.0,0.0,0.0,0.0,0.0
42,2005,AMERICAN DISTILLATION INC,NO,,Chemicals,28451,NC,LELAND,BRUNSWICK,34.270744,-78.003706,TOLUENE,Pounds,NO,YES,80.0,80.0,0.0,0.0,0.0,0.0
43,2005,KAO SPECIALTIES AMERICAS LLC,NO,KAO CORP,Chemicals,27260,NC,HIGH POINT,GUILFORD,35.92307,-80.02965,"4,4'-ISOPROPYLIDENEDIPHENOL",Pounds,NO,NO,500.0,500.0,0.0,0.0,0.0,0.0
44,2005,HUNTINGTON ALLOYS CORP SPECIAL METALS WELDING PRODUCTS,NO,BERKSHIRE HATHAWAY INC,Primary Metals,28658,NC,NEWTON,CATAWBA,35.68105,-81.1962,COPPER,Pounds,NO,NO,459.0,1.0,456.0,0.0,0.0,0.0
45,2005,DYNAMIC SYSTEMS INC,NO,,Plastics and Rubber,28748,NC,LEICESTER,MADISON,35.662,-82.8153,DIISOCYANATES,Pounds,NO,YES,0.431,0.431,0.0,0.0,0.0,0.0
46,2005,DOMTAR PAPER CO LLC-PLYMOUTH MILL,NO,DOMTAR CORP,Paper,27962,NC,PLYMOUTH,MARTIN,35.861716,-76.779683,MERCURY COMPOUNDS,Pounds,NO,YES,16.9,16.9,0.0,0.0,0.0,1.0
47,2005,INVISTA SA RL-WILMINGTON,NO,KOCH INDUSTRIES INC,Chemicals,28401,NC,WILMINGTON,NEW HANOVER,34.313566,-77.98055,"BENZO(G,H,I)PERYLENE",Pounds,YES,YES,0.15,0.12,0.03,0.0,0.0,0.0
48,2005,SMITHFIELD-TAR HEEL,NO,UNITED GLOBAL FOODS US HOLDINGS INC,Food,28392,NC,TAR HEEL,BLADEN,34.7465,-78.8061,AMMONIA,Pounds,NO,NO,25190.0,25190.0,0.0,0.0,0.0,0.0
49,2005,WATTS REGULATOR REGTROL,NO,WATTS WATER TECHNOLOGIES,Fabricated Metals,28160,NC,SPINDALE,RUTHERFORD,35.35039,-81.9129,LEAD,Pounds,YES,YES,2.0,0.0,1.0,2831.0,0.0,0.0
50,2005,UNIVAR USA INC.CHARLOTTE-HOVIS FACILITY,NO,,Chemical Wholesalers,28208,NC,CHARLOTTE,MECKLENBURG,35.26853,-80.8988,DIMETHYL PHTHALATE,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
51,2005,CAROLINA SOLVENTS INC,NO,,Chemicals,28602,NC,HICKORY,CATAWBA,35.69935,-81.34281,N-BUTYL ALCOHOL,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
52,2005,ALERIS ROLLED PRODUCTS INC,NO,ALERIS ROLLED PRODUCTS INC.,Fabricated Metals,27573,NC,ROXBORO,PERSON,36.34748,-78.98229,TOLUENE,Pounds,NO,YES,507.0,507.0,0.0,0.0,0.0,0.0
53,2005,SOLENIS LLC,NO,CLAYTON DUBILIER & RICE LLC,Chemicals,27406,NC,GREENSBORO,GUILFORD,36.0441,-79.78814,MALEIC ANHYDRIDE,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
54,2005,PERRY LOGISTICS,NO,,Wood Products,27537,NC,HENDERSON,VANCE,36.29481,-78.40543,COPPER COMPOUNDS,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
55,2005,KAO SPECIALTIES AMERICAS LLC,NO,KAO CORP,Chemicals,27260,NC,HIGH POINT,GUILFORD,35.92307,-80.02965,PROPYLENE OXIDE,Pounds,YES,YES,2.0,2.0,0.0,0.0,0.0,0.0
56,2005,METALLIX REFINING  INC,NO,,Primary Metals,27834,NC,GREENVILLE,PITT,35.64516,-77.36382,COPPER,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
57,2005,PILGRIM'S PRIDE CORP WINGATE FEED MILL,NO,JBS USA FOODS CO,Food,28174,NC,WINGATE,UNION,34.982701,-80.46293,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,0.00581,0.00581,0.0,0.0,0.0,0.0
58,2005,OAK-BARK CORP,NO,,Chemicals,28456,NC,RIEGELWOOD,COLUMBUS,34.32599,-78.19946,ANILINE,Pounds,NO,YES,6.0,6.0,0.0,0.0,0.0,0.0
59,2005,LAND O'LAKES PURINA FEED LLC - STATESVILLE,NO,LAND O LAKES INC,Food,28677,NC,STATESVILLE,IREDELL,35.75389,-80.79541,ZINC COMPOUNDS,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
60,2005,GOULSTON TECHNOLOGIES,NO,,Petroleum,28110,NC,MONROE,UNION,34.98722,-80.55844,ETHYLENE GLYCOL,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
61,2005,HAYWARD INDUSTRIES,NO,HAYWARD INDUSTRIES,Plastics and Rubber,27012,NC,CLEMMONS,FORSYTH,36.00754,-80.3808,DIISOCYANATES,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
62,2005,COASTAL AGROBUSINESS INC,NO,,Other,278345408,NC,GREENVILLE,PITT,35.56043,-77.38662,CHLOROPICRIN,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
63,2005,INDUSTRIAL SHEET METAL/TRANE,NO,AMERICAN STANDARD COS INC,Machinery,28379,NC,ROCKINGHAM,RICHMOND,34.89834,-79.75958,CHROMIUM,Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
64,2005,PERDUE NASHVILLE FEED MILL,NO,PERDUE FARMS INC,Food,27856,NC,NASHVILLE,NASH,35.970875,-77.999312,ZINC COMPOUNDS,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
