,YEAR,FACILITY_NAME,FEDERAL_FACILITY,PARENT_COMPANY_NAME,INDUSTRY_SECTOR,ZIP,STATE,CITY,COUNTY,LATITUDE,LONGITUDE,CHEMICAL,UNIT_OF_MEASURE,CARCINOGEN,CAA_CHEMICAL,TOTAL_RELEASES,ON_SITE_RELEASE_TOTAL,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,ON_SITE_RECYCLED_TOTAL,ONE_TIME_RELEASES
0,2003,BROYHILL FURNITURE INDUSTRIES INC VIRGINIA STREET COMPLEX,NO,FURNITURE BRANDS INTERNATIONAL INC,Furniture,28645,NC,LENOIR,CALDWELL,35.90273,-81.55306,CERTAIN GLYCOL ETHERS,Pounds,NO,YES,13879.5,13879.5,0.0,0.0,257.44,0.0
1,2003,BROYHILL FURNITURE INDUSTRIES INC CONOVER PLANT,NO,FURNITURE BRANDS INTERNATIONAL INC,Furniture,28613,NC,CONOVER,CATAWBA,35.7071,-81.222102,TOLUENE,Pounds,NO,YES,31195.753,31195.753,0.0,0.0,0.0,0.0
2,2003,STANLEY FURNITURE CO,NO,STANLEY FURNITURE CO,Furniture,28771,NC,ROBBINSVILLE,GRAHAM,35.3181,-83.8165,TOLUENE,Pounds,NO,YES,80734.0,80734.0,0.0,0.0,0.0,0.0
3,2003,STANLEY FURNITURE CO,NO,STANLEY FURNITURE CO,Furniture,28771,NC,ROBBINSVILLE,GRAHAM,35.3181,-83.8165,METHANOL,Pounds,NO,YES,10084.0,10084.0,0.0,0.0,0.0,0.0
4,2003,MWG BIOTECH INC,NO,MWG BIOTECH INC,Chemicals,27265,NC,HIGH POINT,GUILFORD,36.04849,-79.95447,DICHLOROMETHANE,Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
5,2003,DUKE ENERGY CAROLINAS LLC - ALLEN STEAM STATION,NO,DUKE ENERGY CORP,Electric Utilities,28012,NC,BELMONT,GASTON,35.190083,-81.008748,DIOXIN AND DIOXIN-LIKE COMPOUNDS,Grams,NO,YES,0.46,0.46,0.0,0.0,0.0,0.0
6,2003,MANN + HUMMEL PUROLATOR FILTERS LLC,NO,,Transportation Equipment,28306,NC,FAYETTEVILLE,CUMBERLAND,35.01388,-78.91885,METHANOL,Pounds,NO,YES,30454.0,30454.0,0.0,0.0,0.0,0.0
7,2003,ALCOA BADIN WORKS,NO,ALCOA INC,Primary Metals,28009,NC,BADIN,STANLY,35.4155,-80.11826,MANGANESE,Pounds,NO,YES,3.0,3.0,0.0,9430.0,0.0,0.0
8,2003,"BUCKEYE TERMINALS, LLC - WILMINGTON TERMINAL",NO,BUCKEYE TERMINALS LLC,Petroleum Bulk Terminals,28401,NC,WILMINGTON,NEW HANOVER,34.2189,-77.94677,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,5.82,1.9,3.92,0.0,0.0,0.0
9,2003,ELECTROLUX HOME PRODUCTS,NO,ELECTROLUX NA,Electrical Equipment,28504,NC,KINSTON,LENOIR,35.261531,-77.64767,METHYL ETHYL KETONE,Pounds,NO,NO,460.0,460.0,0.0,0.0,0.0,0.0
10,2003,QORVO US INC,NO,QORVO INC,Computers and Electronic Products,27409,NC,GREENSBORO,GUILFORD,36.07464,-79.96572,CHLOROBENZENE,Pounds,NO,YES,4705.0,4705.0,0.0,0.0,0.0,0.0
11,2003,DUKE ENERGY PROGRESS LLC - ROXBORO STEAM ELECTRIC PLANT,NO,DUKE ENERGY CORP,Electric Utilities,27343,NC,SEMORA,PERSON,36.4833,-79.0731,VANADIUM COMPOUNDS,Pounds,NO,NO,248930.0,248930.0,0.0,0.0,0.0,0.0
12,2003,BAJA PRODUCTS LTD,NO,BAJA PRODUCTS LTD,Plastics and Rubber,28147,NC,SALISBURY,ROWAN,35.6376,-80.52461,STYRENE,Pounds,YES,YES,6839.0,6839.0,0.0,0.0,0.0,0.0
13,2003,AMPHENOL TCS MOLDING & STAMPING,NO,AMPHENOL CORP,Computers and Electronic Products,27103,NC,WINSTON SALEM,FORSYTH,36.0383,-80.31832,COPPER,Pounds,NO,NO,0.0,0.0,0.0,653852.0,0.0,0.0
14,2003,ENERGY CONVERSION SYSTEMS HOLDINGS LLC,NO,ENERGY CONVERSION SYSTEMS HOLDINGS LLC,Electrical Equipment,28334,NC,DUNN,HARNETT,35.31823,-78.62076,AMMONIA,Pounds,NO,NO,500.0,500.0,0.0,0.0,0.0,0.0
15,2003,DUKE ENERGY PROGRESS INC  - CAPE FEAR STEAM ELECTRIC PLANT,NO,DUKE ENERGY CORP,Electric Utilities,275599517,NC,MONCURE,CHATHAM,35.540928,-78.98975,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",Pounds,NO,YES,1300000.0,1300000.0,0.0,0.0,0.0,0.0
16,2003,THOMSON CROWN WOOD PRODUCTS CO,NO,THOMSON INC,Furniture,27028,NC,MOCKSVILLE,DAVIE,35.892998,-80.534862,CERTAIN GLYCOL ETHERS,Pounds,NO,YES,1158.0,1158.0,0.0,0.0,0.0,0.0
17,2003,SOUTH ATLANTIC SERVICES INC,NO,SOUTH ATLANTIC SERVICES INC,Other,28401,NC,WILMINGTON,NEW HANOVER,34.29153,-77.97009,ETHYLENE GLYCOL,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
18,2003,HARSCO METALS - HERTFORD,NO,HARSCO CORP,Nonmetallic Mineral Product,27922,NC,COFIELD,HERTFORD,36.348888,-76.809998,NICKEL COMPOUNDS,Pounds,NO,YES,844.0,844.0,0.0,0.0,0.0,0.0
19,2003,CPI USA NORTH CAROLINA LLC,NO,,Electric Utilities,27573,NC,ROXBORO,PERSON,36.43286,-78.96017,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",Pounds,NO,YES,86111.0,86111.0,0.0,0.0,0.0,0.0
20,2003,KABA ILCO CORP,NO,KABA ILCO CORP,Fabricated Metals,27801,NC,ROCKY MOUNT,NASH,35.98742,-77.78704,MANGANESE COMPOUNDS,Pounds,NO,YES,10.0,10.0,0.0,1256.0,0.0,0.024
21,2003,DSM PHARMACEUTICALS INC,NO,DSM RESINS BUSINESS GROUP,Chemicals,27834,NC,GREENVILLE,PITT,35.659766,-77.358783,"N,N-DIMETHYLFORMAMIDE",Pounds,YES,YES,1505.0,1505.0,0.0,0.0,0.0,0.0
22,2003,DUKE ENERGY CAROLINAS LLC - RIVERBEND STEAM STATION,NO,DUKE ENERGY CORP,Electric Utilities,28120,NC,MOUNT HOLLY,GASTON,35.3601,-80.9742,VANADIUM COMPOUNDS,Pounds,NO,NO,51570.0,51570.0,0.0,0.0,0.0,0.0
23,2003,FLEXTRONICS INTERNATIONAL,NO,,Computers and Electronic Products,27596,NC,YOUNGSVILLE,FRANKLIN,36.03096,-78.49902,LEAD COMPOUNDS,Pounds,NO,YES,0.0,0.0,0.0,2256.0,0.0,0.0
24,2003,BLACK & DECKER (US) INC,NO,BLACK & DECKER CORP,Machinery,28306,NC,FAYETTEVILLE,CUMBERLAND,35.001328,-78.901196,STYRENE,Pounds,YES,YES,5620.0,5620.0,0.0,0.0,0.0,0.0
25,2003,SAPA BURLINGTON LLC,NO,SAPA EXTRUSIONS INC,Primary Metals,27215,NC,BURLINGTON,ALAMANCE,36.05907,-79.44611,LEAD,Pounds,YES,YES,0.0,0.0,0.0,54.0,0.0,0.0
26,2003,AVX CORP,NO,,Computers and Electronic Products,27604,NC,RALEIGH,WAKE,35.83249,-78.60479,LEAD COMPOUNDS,Pounds,NO,YES,4193.08,3.0,4189.54,0.0,0.0,3.0
27,2003,OWENS-BROCKWAY GLASS CONTAINER INC - PLANT #06,NO,OWENS-ILLINOIS INC,Nonmetallic Mineral Product,27295,NC,LEXINGTON,DAVIDSON,35.95027,-80.21778,AMMONIA,Pounds,NO,NO,8105.9,8105.9,0.0,0.0,0.0,0.0
28,2003,MALLARD CREEK POLYMERS,NO,,Chemicals,28262,NC,CHARLOTTE,MECKLENBURG,35.350334,-80.714847,AMMONIA,Pounds,NO,NO,1729.0,1729.0,0.0,0.0,0.0,12.0
29,2003,ARMACELL LLC,NO,ARMACELL US HOLDINGS INC,Plastics and Rubber,27302,NC,MEBANE,ORANGE,36.07919,-79.25172,ZINC COMPOUNDS,Pounds,NO,NO,4465.0,2216.0,2244.0,43174.0,0.0,0.0
30,2003,BASF CORP,NO,BASF CORP,Chemicals,28655,NC,MORGANTON,BURKE,35.73125,-81.74671,METHYL ETHYL KETONE,Pounds,NO,NO,3710.0,3700.0,10.0,115000.0,0.0,0.0
31,2003,COATS AMERICAN SEVIER PLANT,NO,COATS AMERICAN,Textiles,28752,NC,MARION,MCDOWELL,35.7885,-82.029,METHANOL,Pounds,NO,YES,388176.0,388176.0,0.0,0.0,6039.0,0.0
32,2003,CNA HOLDINGS LLC-SHELBY,NO,CELANESE CORP,Chemicals,28073,NC,GROVER,CLEVELAND,35.20888,-81.52833,PHENOL,Pounds,NO,YES,79.64,79.64,0.0,26556.0,0.0,0.0
33,2003,KABA ILCO CORP,NO,KABA ILCO CORP,Fabricated Metals,27801,NC,ROCKY MOUNT,NASH,35.98742,-77.78704,ZINC COMPOUNDS,Pounds,NO,NO,670.0,500.0,85.0,831345.0,4267349.0,0.0
34,2003,DUKE ENERGY PROGRESS INC  - CAPE FEAR STEAM ELECTRIC PLANT,NO,DUKE ENERGY CORP,Electric Utilities,275599517,NC,MONCURE,CHATHAM,35.540928,-78.98975,LEAD COMPOUNDS,Pounds,NO,YES,11395.7,11265.7,130.0,0.26,0.0,0.0
35,2003,OAK-BARK CORP,NO,,Chemicals,28456,NC,RIEGELWOOD,COLUMBUS,34.32599,-78.19946,AMMONIA,Pounds,NO,NO,5647.0,5647.0,0.0,0.0,0.0,0.0
36,2003,DUKE ENERGY CAROLINAS LLC - BELEWS CREEK STEAM STATION,NO,DUKE ENERGY CORP,Electric Utilities,27052,NC,WALNUT COVE,STOKES,36.281338,-80.059438,LEAD COMPOUNDS,Pounds,NO,YES,21163.5,21163.5,0.0,0.0,0.0,0.0
37,2003,KEMET ELECTRONICS CORP,NO,,Computers and Electronic Products,28152,NC,SHELBY,CLEVELAND,35.2933,-81.59968,BARIUM COMPOUNDS,Pounds,NO,NO,80658.0,0.0,80658.0,0.0,17103.0,0.0
38,2003,LANXESS CORP,NO,LANXESS CORP,Chemicals,27406,NC,GREENSBORO,GUILFORD,36.03979,-79.77917,DIBUTYL PHTHALATE,Pounds,NO,YES,255.0,255.0,0.0,0.0,0.0,0.0
39,2003,MEXICHEM SPECIALTY COMPOUNDS,NO,MEXICHEM SAB DE CV,Chemicals,28134,NC,PINEVILLE,MECKLENBURG,35.10276,-80.88705,DI(2-ETHYLHEXYL) PHTHALATE,Pounds,YES,YES,255.0,5.0,250.0,0.0,3885.0,0.0
40,2003,GARDNER GLASS PRODUCTS INC,NO,GARDNER GLASS PRODUCTS INC,Nonmetallic Mineral Product,28659,NC,NORTH WILKESBORO,WILKES,36.18446,-81.12987,N-BUTYL ALCOHOL,Pounds,NO,NO,24613.186,24363.186,250.0,0.0,0.0,0.0
41,2003,MAY-CRAFT FIBERGLASS PRODUCTS INC,NO,,Transportation Equipment,27524,NC,FOUR OAKS,JOHNSTON,35.45918,-78.38705,STYRENE,Pounds,YES,YES,23600.0,23600.0,0.0,0.0,0.0,0.0
42,2003,AMERICAN DREW PLANT 13,NO,LA-Z-BOY INC,Furniture,28659,NC,NORTH WILKESBORO,WILKES,36.16612,-81.12219,LEAD,Pounds,YES,YES,303.11,303.11,0.0,0.0,0.0,0.0
43,2003,KABA ILCO CORP,NO,KABA ILCO CORP,Fabricated Metals,27105,NC,WINSTON SALEM,FORSYTH,36.12683,-80.23678,COPPER,Pounds,NO,NO,228.0,0.0,114.0,189840.0,0.0,0.0
44,2003,LEXINGTON FURNITURE INDUSTRIES PLANT 1,NO,LEXINGTON FURNITURE INDUSTRIES PLT 1,Furniture,27292,NC,LEXINGTON,DAVIDSON,35.82021,-80.25551,LEAD COMPOUNDS,Pounds,NO,YES,3.0,3.0,0.0,0.0,0.0,0.0
45,2003,DUKE ENERGY CAROLINAS LLC - BELEWS CREEK STEAM STATION,NO,DUKE ENERGY CORP,Electric Utilities,27052,NC,WALNUT COVE,STOKES,36.281338,-80.059438,NICKEL COMPOUNDS,Pounds,NO,YES,42968.0,42968.0,0.0,0.0,0.0,0.0
