,YEAR,FACILITY_NAME,FEDERAL_FACILITY,PARENT_COMPANY_NAME,INDUSTRY_SECTOR,ZIP,STATE,CITY,COUNTY,LATITUDE,LONGITUDE,CHEMICAL,UNIT_OF_MEASURE,CARCINOGEN,CAA_CHEMICAL,TOTAL_RELEASES,ON_SITE_RELEASE_TOTAL,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,ON_SITE_RECYCLED_TOTAL,ONE_TIME_RELEASES
0,2006,BRENNTAG MID-SOUTH,NO,BRENNTAG N.A. INC,Chemical Wholesalers,27703,NC,DURHAM,DURHAM,35.97995,-78.88007,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
1,2006,RF MICRO DEVICES FAB 1,NO,RF MICRO DEVICES INC,Computers and Electronic Products,27409,NC,GREENSBORO,GUILFORD,36.07464,-79.96572,XYLENE (MIXED ISOMERS),Pounds,NO,YES,10.0,10.0,0.0,32130.0,0.0,0.0
2,2006,ENGINEERED POLYMER SOLUTIONS INC D/B/A VALSPAR COATINGS,NO,THE VALSPAR CORP,Chemicals,28262,NC,CHARLOTTE,MECKLENBURG,35.33416,-80.75834,ALUMINUM OXIDE (FIBROUS FORMS),Pounds,NO,NO,90.0,3.0,87.0,0.0,187.0,0.0
3,2006,UNILIN US MDF,NO,,Wood Products,27306,NC,MOUNT GILEAD,MONTGOMERY,35.251428,-79.974688,LEAD,Pounds,YES,YES,2.49,2.49,0.0,0.0,0.0,0.0
4,2006,CHEMICAL SPECIALTIES LLC,NO,HUNTSMAN CORP,Chemicals,28075,NC,HARRISBURG,CABARRUS,35.33417,-80.6177,COPPER COMPOUNDS,Pounds,NO,NO,30172.16,51.16,30121.0,0.0,15061.0,0.0
5,2006,CHEMICAL SPECIALTIES LLC,NO,HUNTSMAN CORP,Chemicals,28075,NC,HARRISBURG,CABARRUS,35.33417,-80.6177,COPPER COMPOUNDS,Pounds,NO,NO,30172.16,51.16,30121.0,0.0,15061.0,0.0
6,2006,CHEMICAL SPECIALTIES LLC,NO,HUNTSMAN CORP,Chemicals,28075,NC,HARRISBURG,CABARRUS,35.33417,-80.6177,LEAD,Pounds,YES,YES,1.43,0.0,1.43,0.0,0.0,0.0
7,2006,CHEMICAL SPECIALTIES LLC,NO,HUNTSMAN CORP,Chemicals,28075,NC,HARRISBURG,CABARRUS,35.33417,-80.6177,LEAD,Pounds,YES,YES,1.43,0.0,1.43,0.0,0.0,0.0
8,2006,MARATHON PETROLEUM CO - SELMA W OAK ST TERMINAL,NO,MARATHON PETROLEUM CORP,Petroleum Bulk Terminals,27576,NC,SELMA,JOHNSTON,35.55362,-78.3092,ETHYLBENZENE,Pounds,NO,YES,269.0,242.0,27.0,0.0,0.0,0.0
9,2006,CENTURY FURNITURE CASEGOODS PLANT NO 1,NO,RHF INVESTMENTS INC,Furniture,28601,NC,HICKORY,CATAWBA,35.737818,-81.360176,TOLUENE,Pounds,NO,YES,14622.0,14622.0,0.0,0.0,0.0,0.0
10,2006,DRAKA ELEVATOR INC,NO,PRYSMIAN CABLES & SYSTEMS (US) INC,Electrical Equipment,27804,NC,ROCKY MOUNT,NASH,35.96967,-77.78639,LEAD COMPOUNDS,Pounds,NO,YES,46.0,0.0,46.0,10074.0,0.0,0.0
11,2006,LOUISIANA-PACIFIC CORP,NO,LOUISIANA PACIFIC CORP,Wood Products,28669,NC,ROARING RIVER,WILKES,36.1986,-81.0356,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,11.8,11.7,0.1,0.0,0.0,0.0
12,2006,UNILIN US MDF,NO,,Wood Products,27306,NC,MOUNT GILEAD,MONTGOMERY,35.251428,-79.974688,MANGANESE,Pounds,NO,YES,80.85,80.85,0.0,0.0,0.0,0.0
13,2006,TRIANGLE BRICK CO,NO,ROBEN KLINKWORTH,Nonmetallic Mineral Product,28170,NC,WADESBORO,ANSON,35.019105,-80.085391,"BENZO(G,H,I)PERYLENE",Pounds,YES,YES,0.0011,0.0011,0.0,0.0,0.0,0.0
14,2006,BAXTER HEALTHCARE CORP,NO,BAXTER INTERNATIONAL INC,Chemicals,28752,NC,MARION,MCDOWELL,35.833644,-81.999866,DI(2-ETHYLHEXYL) PHTHALATE,Pounds,YES,YES,27815.0,342.0,27473.0,0.0,0.0,0.0
15,2006,CONTINENTAL STRUCTURAL PLASTICS LLC-SALISBURY,NO,CONTINENTAL STRUCTURAL PLASTICS,Transportation Equipment,28147,NC,SALISBURY,ROWAN,35.72032,-80.60932,DIISOCYANATES,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
16,2006,CARGILL INC RALEIGH FACILITY,NO,CARGILL INC,Food,27603,NC,RALEIGH,WAKE,35.76093,-78.63754,"BENZO(G,H,I)PERYLENE",Pounds,YES,YES,0.0007,0.0007,0.0,0.0,0.0,0.0
17,2006,CARGILL INC RALEIGH FACILITY,NO,CARGILL INC,Food,27603,NC,RALEIGH,WAKE,35.76093,-78.63754,"BENZO(G,H,I)PERYLENE",Pounds,YES,YES,0.0007,0.0007,0.0,0.0,0.0,0.0
18,2006,AALLIED DIE CASTING OF NC,NO,RCM INDUSTRIES,Primary Metals,28139,NC,RUTHERFORDTON,RUTHERFORD,35.35602,-81.95744,CHROMIUM,Pounds,YES,YES,2.0,2.0,0.0,0.0,0.0,0.0
