,YEAR,FACILITY_NAME,FEDERAL_FACILITY,PARENT_COMPANY_NAME,INDUSTRY_SECTOR,ZIP,STATE,CITY,COUNTY,LATITUDE,LONGITUDE,CHEMICAL,UNIT_OF_MEASURE,CARCINOGEN,CAA_CHEMICAL,TOTAL_RELEASES,ON_SITE_RELEASE_TOTAL,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,ON_SITE_RECYCLED_TOTAL,ONE_TIME_RELEASES
232,2004,BRENNTAG MID-SOUTH,NO,BRENNTAG N.A. INC,Chemical Wholesalers,27703,NC,DURHAM,DURHAM,35.97995,-78.88007,ETHYLENE GLYCOL,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
233,2004,RUTLAND PLASTIC TECHNOLOGIES INC,NO,RUTLAND GROUP INC,Chemicals,28134,NC,PINEVILLE,MECKLENBURG,35.10077,-80.88499,ZINC COMPOUNDS,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
234,2004,UNIVAR USA INC JAMESTOWN FACILITY,NO,UNIVAR USA INC,Chemical Wholesalers,27282,NC,JAMESTOWN,GUILFORD,35.99347,-79.93371,STYRENE,Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
235,2004,CHEMTURA CORP,NO,CHEMTURA CORP,Chemicals,28054,NC,GASTONIA,GASTON,35.243611,-81.1875,ALPHA-NAPHTHYLAMINE,Pounds,YES,NO,0.0,0.0,0.0,0.0,0.0,0.0
236,2004,PERDUE NASHVILLE FEED MILL,NO,PERDUE FARMS INC,Food,27856,NC,NASHVILLE,NASH,35.970875,-77.999312,MANGANESE COMPOUNDS,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
237,2004,MOUNTAIRE FARMS INC- CANDOR FEED MILL,NO,MOUNTAIRE FARMS INC,Food,27229,NC,CANDOR,MONTGOMERY,35.299233,-79.715983,ARSENIC COMPOUNDS,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
238,2004,UNIVAR USA INC.CHARLOTTE-HOVIS FACILITY,NO,,Chemical Wholesalers,28208,NC,CHARLOTTE,MECKLENBURG,35.26853,-80.8988,NITRIC ACID,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
239,2004,GAC WINSTON SALEM INC,NO,GARDNER INDUSTRIES INC,Petroleum,27107,NC,WINSTON SALEM,FORSYTH,36.07639,-80.22022,NITRATE COMPOUNDS,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
240,2004,GILBARCO INC,NO,FORTIVE,Machinery,27410,NC,GREENSBORO,GUILFORD,36.08764,-79.9272,MANGANESE,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
241,2004,SOUTHERN STATES FEED MILL,NO,SOUTHERN STATES COOP INC,Food,27013,NC,CLEVELAND,ROWAN,35.71845,-80.6452,COPPER COMPOUNDS,Pounds,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0
242,2004,MALLARD CREEK POLYMERS,NO,,Chemicals,28262,NC,CHARLOTTE,MECKLENBURG,35.350334,-80.714847,ACRYLAMIDE,Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
243,2004,PETROLIANCE LLC APEX DBA PETROCHOICE LLC,NO,,Petroleum Bulk Terminals,28052,NC,GASTONIA,GASTON,35.28149,-81.23434,XYLENE (MIXED ISOMERS),Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
244,2004,PETROLIANCE LLC APEX DBA PETROCHOICE LLC,NO,,Petroleum Bulk Terminals,28052,NC,GASTONIA,GASTON,35.28149,-81.23434,N-HEXANE,Pounds,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0
245,2004,SYNTHETICS FINISHING 321 PLANT,NO,TSG INC,Textiles,28602,NC,HICKORY,CATAWBA,35.74,-81.36722,TRICHLOROETHYLENE,Pounds,YES,YES,45380.0,45380.0,0.0,0.0,795117.0,0.0
246,2004,LUBRIZOL,NO,BERKSHIRE HATHAWAY INC,Chemicals,28056,NC,GASTONIA,GASTON,35.20132,-81.20716,BUTYL ACRYLATE,Pounds,NO,NO,13.0,13.0,0.0,0.0,0.0,0.0
247,2004,"SPGPRINTS AMERICA, INC.",NO,BENCIS CAPITAL PARTNERS / STORK NV,Fabricated Metals,28269,NC,CHARLOTTE,MECKLENBURG,35.275482,-80.840834,COPPER,Pounds,NO,NO,265.0,255.0,5.0,25860.1,0.0,0.0
